class:method:signature:line,sbfl_score
org.apache.commons.lang3.SystemUtils:<clinit>:()V:175,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:191,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:207,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:224,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:241,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:258,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:291,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:461,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:307,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:324,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:342,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:360,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:377,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:394,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:411,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:428,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:445,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:495,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:870,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:878,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionMatches:(Ljava/lang/String;)Z:1206,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsFloat:()F:1138,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsFloat:()F:1141,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsInt:()I:1162,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsInt:()I:1165,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsInt:()I:1166,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsInt:()I:1167,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsInt:()I:1168,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionAsInt:()I:1173,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionMatches:(Ljava/lang/String;)Z:1203,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionTrimmed:()Ljava/lang/String;:1185,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:<clinit>:()V:886,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionTrimmed:()Ljava/lang/String;:1186,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionTrimmed:()Ljava/lang/String;:1187,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionTrimmed:()Ljava/lang/String;:1188,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getJavaVersionTrimmed:()Ljava/lang/String;:1189,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getOSMatches:(Ljava/lang/String;)Z:1216,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getOSMatches:(Ljava/lang/String;)Z:1219,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getOSMatches:(Ljava/lang/String;Ljava/lang/String;)Z:1230,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getOSMatches:(Ljava/lang/String;Ljava/lang/String;)Z:1233,0.0018181818181818182
org.apache.commons.lang3.SystemUtils:getSystemProperty:(Ljava/lang/String;)Ljava/lang/String;:1249,0.0018181818181818182
